21:23:39: Edge Data
21:23:39: ---------
21:23:39: Triangle 0 = {indexSet=0, vertexSet=0, v0=18, v1=1, v2=17}
21:23:39: Triangle 302 = {indexSet=0, vertexSet=0, v0=176, v1=160, v2=159}
21:23:39: Triangle 303 = {indexSet=0, vertexSet=0, v0=177, v1=160, v2=176}
21:23:39: Triangle 304 = {indexSet=0, vertexSet=0, v0=177, v1=161, v2=160}
21:23:39: Triangle 305 = {indexSet=0, vertexSet=0, v0=178, v1=161, v2=177}
21:23:39: Triangle 306 = {indexSet=0, vertexSet=0, v0=178, v1=162, v2=161}
21:23:39: Triangle 307 = {indexSet=0, vertexSet=0, v0=179, v1=162, v2=178}
21:23:39: Triangle 308 = {indexSet=0, vertexSet=0, v0=179, v1=163, v2=162}
21:23:39: Triangle 309 = {indexSet=0, vertexSet=0, v0=180, v1=163, v2=179}
21:23:39: Triangle 310 = {indexSet=0, vertexSet=0, v0=180, v1=164, v2=163}
21:23:39: Triangle 311 = {indexSet=0, vertexSet=0, v0=181, v1=164, v2=180}
21:23:39: Triangle 312 = {indexSet=0, vertexSet=0, v0=181, v1=165, v2=164}
21:23:39: Triangle 313 = {indexSet=0, vertexSet=0, v0=182, v1=165, v2=181}
21:23:39: Triangle 314 = {indexSet=0, vertexSet=0, v0=182, v1=166, v2=165}
21:23:39: Triangle 315 = {indexSet=0, vertexSet=0, v0=183, v1=166, v2=182}
21:23:39: Triangle 316 = {indexSet=0, vertexSet=0, v0=183, v1=167, v2=166}
21:23:39: Triangle 317 = {indexSet=0, vertexSet=0, v0=184, v1=167, v2=183}
21:23:39: Triangle 318 = {indexSet=0, vertexSet=0, v0=184, v1=168, v2=167}
21:23:39: Triangle 319 = {indexSet=0, vertexSet=0, v0=185, v1=168, v2=184}
21:23:39: Triangle 320 = {indexSet=0, vertexSet=0, v0=185, v1=169, v2=168}
21:23:39: Triangle 321 = {indexSet=0, vertexSet=0, v0=186, v1=169, v2=185}
21:23:39: Triangle 322 = {indexSet=0, vertexSet=0, v0=186, v1=170, v2=169}
21:23:39: Triangle 323 = {indexSet=0, vertexSet=0, v0=187, v1=170, v2=186}
21:23:39: Triangle 324 = {indexSet=0, vertexSet=0, v0=187, v1=171, v2=170}
21:23:39: Triangle 325 = {indexSet=0, vertexSet=0, v0=188, v1=171, v2=187}
21:23:39: Triangle 326 = {indexSet=0, vertexSet=0, v0=188, v1=172, v2=171}
21:23:39: Triangle 327 = {indexSet=0, vertexSet=0, v0=189, v1=172, v2=188}
21:23:39: Triangle 328 = {indexSet=0, vertexSet=0, v0=189, v1=173, v2=172}
21:23:39: Triangle 329 = {indexSet=0, vertexSet=0, v0=190, v1=173, v2=189}
21:23:39: Triangle 330 = {indexSet=0, vertexSet=0, v0=190, v1=174, v2=173}
21:23:39: Triangle 331 = {indexSet=0, vertexSet=0, v0=191, v1=174, v2=190}
21:23:39: Triangle 332 = {indexSet=0, vertexSet=0, v0=191, v1=175, v2=174}
21:23:39: Triangle 333 = {indexSet=0, vertexSet=0, v0=192, v1=175, v2=191}
21:23:39: Triangle 334 = {indexSet=0, vertexSet=0, v0=192, v1=176, v2=175}
21:23:39: Triangle 335 = {indexSet=0, vertexSet=0, v0=193, v1=176, v2=192}
21:23:39: Triangle 336 = {indexSet=0, vertexSet=0, v0=193, v1=177, v2=176}
21:23:39: Triangle 337 = {indexSet=0, vertexSet=0, v0=194, v1=177, v2=193}
21:23:39: Triangle 338 = {indexSet=0, vertexSet=0, v0=194, v1=178, v2=177}
21:23:39: Triangle 339 = {indexSet=0, vertexSet=0, v0=195, v1=178, v2=194}
21:23:39: Triangle 340 = {indexSet=0, vertexSet=0, v0=195, v1=179, v2=178}
21:23:39: Triangle 341 = {indexSet=0, vertexSet=0, v0=196, v1=179, v2=195}
21:23:39: Triangle 342 = {indexSet=0, vertexSet=0, v0=196, v1=180, v2=179}
21:23:39: Triangle 343 = {indexSet=0, vertexSet=0, v0=197, v1=180, v2=196}
21:23:39: Triangle 344 = {indexSet=0, vertexSet=0, v0=197, v1=181, v2=180}
21:23:39: Triangle 345 = {indexSet=0, vertexSet=0, v0=198, v1=181, v2=197}
21:23:39: Triangle 346 = {indexSet=0, vertexSet=0, v0=198, v1=182, v2=181}
21:23:39: Triangle 347 = {indexSet=0, vertexSet=0, v0=199, v1=182, v2=198}
21:23:39: Triangle 348 = {indexSet=0, vertexSet=0, v0=199, v1=183, v2=182}
21:23:39: Triangle 349 = {indexSet=0, vertexSet=0, v0=200, v1=183, v2=199}
21:23:39: Triangle 350 = {indexSet=0, vertexSet=0, v0=200, v1=184, v2=183}
21:23:39: Triangle 351 = {indexSet=0, vertexSet=0, v0=201, v1=184, v2=200}
21:23:39: Triangle 352 = {indexSet=0, vertexSet=0, v0=201, v1=185, v2=184}
21:23:39: Triangle 353 = {indexSet=0, vertexSet=0, v0=202, v1=185, v2=201}
21:23:39: Triangle 354 = {indexSet=0, vertexSet=0, v0=202, v1=186, v2=185}
21:23:39: Triangle 355 = {indexSet=0, vertexSet=0, v0=203, v1=186, v2=202}
21:23:39: Triangle 356 = {indexSet=0, vertexSet=0, v0=203, v1=187, v2=186}
21:23:39: Triangle 357 = {indexSet=0, vertexSet=0, v0=204, v1=187, v2=203}
21:23:39: Triangle 358 = {indexSet=0, vertexSet=0, v0=204, v1=188, v2=187}
21:23:39: Triangle 359 = {indexSet=0, vertexSet=0, v0=205, v1=188, v2=204}
21:23:39: Triangle 360 = {indexSet=0, vertexSet=0, v0=205, v1=189, v2=188}
21:23:39: Triangle 361 = {indexSet=0, vertexSet=0, v0=206, v1=189, v2=205}
21:23:39: Triangle 362 = {indexSet=0, vertexSet=0, v0=206, v1=190, v2=189}
21:23:39: Triangle 363 = {indexSet=0, vertexSet=0, v0=207, v1=190, v2=206}
21:23:39: Triangle 364 = {indexSet=0, vertexSet=0, v0=207, v1=191, v2=190}
21:23:39: Triangle 365 = {indexSet=0, vertexSet=0, v0=208, v1=191, v2=207}
21:23:39: Triangle 366 = {indexSet=0, vertexSet=0, v0=208, v1=192, v2=191}
21:23:39: Triangle 367 = {indexSet=0, vertexSet=0, v0=209, v1=192, v2=208}
21:23:39: Triangle 368 = {indexSet=0, vertexSet=0, v0=209, v1=193, v2=192}
21:23:39: Triangle 369 = {indexSet=0, vertexSet=0, v0=210, v1=193, v2=209}
21:23:39: Triangle 370 = {indexSet=0, vertexSet=0, v0=210, v1=194, v2=193}
21:23:39: Triangle 371 = {indexSet=0, vertexSet=0, v0=211, v1=194, v2=210}
21:23:39: Triangle 372 = {indexSet=0, vertexSet=0, v0=211, v1=195, v2=194}
21:23:39: Triangle 373 = {indexSet=0, vertexSet=0, v0=212, v1=195, v2=211}
21:23:39: Triangle 374 = {indexSet=0, vertexSet=0, v0=212, v1=196, v2=195}
21:23:39: Triangle 375 = {indexSet=0, vertexSet=0, v0=213, v1=196, v2=212}
21:23:39: Triangle 376 = {indexSet=0, vertexSet=0, v0=213, v1=197, v2=196}
21:23:39: Triangle 377 = {indexSet=0, vertexSet=0, v0=214, v1=197, v2=213}
21:23:39: Triangle 378 = {indexSet=0, vertexSet=0, v0=214, v1=198, v2=197}
21:23:39: Triangle 379 = {indexSet=0, vertexSet=0, v0=215, v1=198, v2=214}
21:23:39: Triangle 380 = {indexSet=0, vertexSet=0, v0=215, v1=199, v2=198}
21:23:39: Triangle 381 = {indexSet=0, vertexSet=0, v0=216, v1=199, v2=215}
21:23:39: Triangle 382 = {indexSet=0, vertexSet=0, v0=216, v1=200, v2=199}
21:23:39: Triangle 383 = {indexSet=0, vertexSet=0, v0=217, v1=200, v2=216}
21:23:39: Triangle 384 = {indexSet=0, vertexSet=0, v0=217, v1=201, v2=200}
21:23:39: Triangle 385 = {indexSet=0, vertexSet=0, v0=218, v1=201, v2=217}
21:23:39: Triangle 386 = {indexSet=0, vertexSet=0, v0=218, v1=202, v2=201}
21:23:39: Triangle 387 = {indexSet=0, vertexSet=0, v0=219, v1=202, v2=218}
21:23:39: Triangle 388 = {indexSet=0, vertexSet=0, v0=219, v1=203, v2=202}
21:23:39: Triangle 389 = {indexSet=0, vertexSet=0, v0=220, v1=203, v2=219}
21:23:39: Triangle 390 = {indexSet=0, vertexSet=0, v0=220, v1=204, v2=203}
21:23:39: Triangle 391 = {indexSet=0, vertexSet=0, v0=221, v1=204, v2=220}
21:23:39: Triangle 392 = {indexSet=0, vertexSet=0, v0=221, v1=205, v2=204}
21:23:39: Triangle 393 = {indexSet=0, vertexSet=0, v0=222, v1=205, v2=221}
21:23:39: Triangle 394 = {indexSet=0, vertexSet=0, v0=222, v1=206, v2=205}
21:23:39: Triangle 395 = {indexSet=0, vertexSet=0, v0=223, v1=206, v2=222}
21:23:39: Triangle 396 = {indexSet=0, vertexSet=0, v0=223, v1=207, v2=206}
21:23:39: Triangle 397 = {indexSet=0, vertexSet=0, v0=224, v1=207, v2=223}
21:23:39: Triangle 398 = {indexSet=0, vertexSet=0, v0=224, v1=208, v2=207}
21:23:39: Triangle 399 = {indexSet=0, vertexSet=0, v0=225, v1=208, v2=224}
21:23:39: Triangle 400 = {indexSet=0, vertexSet=0, v0=225, v1=209, v2=208}
21:23:39: Triangle 401 = {indexSet=0, vertexSet=0, v0=226, v1=209, v2=225}
21:23:39: Triangle 402 = {indexSet=0, vertexSet=0, v0=226, v1=210, v2=209}
21:23:39: Triangle 403 = {indexSet=0, vertexSet=0, v0=227, v1=210, v2=226}
21:23:39: Triangle 404 = {indexSet=0, vertexSet=0, v0=227, v1=211, v2=210}
21:23:39: Triangle 405 = {indexSet=0, vertexSet=0, v0=228, v1=211, v2=227}
21:23:39: Triangle 406 = {indexSet=0, vertexSet=0, v0=228, v1=212, v2=211}
21:23:39: Triangle 407 = {indexSet=0, vertexSet=0, v0=229, v1=212, v2=228}
21:23:39: Triangle 408 = {indexSet=0, vertexSet=0, v0=229, v1=213, v2=212}
21:23:39: Triangle 409 = {indexSet=0, vertexSet=0, v0=230, v1=213, v2=229}
21:23:39: Triangle 410 = {indexSet=0, vertexSet=0, v0=230, v1=214, v2=213}
21:23:39: Triangle 411 = {indexSet=0, vertexSet=0, v0=231, v1=214, v2=230}
21:23:39: Triangle 412 = {indexSet=0, vertexSet=0, v0=231, v1=215, v2=214}
21:23:39: Triangle 413 = {indexSet=0, vertexSet=0, v0=232, v1=215, v2=231}
21:23:39: Triangle 414 = {indexSet=0, vertexSet=0, v0=232, v1=216, v2=215}
21:23:39: Triangle 415 = {indexSet=0, vertexSet=0, v0=233, v1=216, v2=232}
21:23:39: Triangle 416 = {indexSet=0, vertexSet=0, v0=233, v1=217, v2=216}
21:23:39: Triangle 417 = {indexSet=0, vertexSet=0, v0=234, v1=217, v2=233}
21:23:39: Triangle 418 = {indexSet=0, vertexSet=0, v0=234, v1=218, v2=217}
21:23:39: Triangle 419 = {indexSet=0, vertexSet=0, v0=235, v1=218, v2=234}
21:23:39: Triangle 420 = {indexSet=0, vertexSet=0, v0=235, v1=219, v2=218}
21:23:39: Triangle 421 = {indexSet=0, vertexSet=0, v0=236, v1=219, v2=235}
21:23:39: Triangle 422 = {indexSet=0, vertexSet=0, v0=236, v1=220, v2=219}
21:23:39: Triangle 423 = {indexSet=0, vertexSet=0, v0=237, v1=220, v2=236}
21:23:39: Triangle 424 = {indexSet=0, vertexSet=0, v0=237, v1=221, v2=220}
21:23:39: Triangle 425 = {indexSet=0, vertexSet=0, v0=238, v1=221, v2=237}
21:23:39: Triangle 426 = {indexSet=0, vertexSet=0, v0=238, v1=222, v2=221}
21:23:39: Triangle 427 = {indexSet=0, vertexSet=0, v0=239, v1=222, v2=238}
21:23:39: Triangle 428 = {indexSet=0, vertexSet=0, v0=239, v1=223, v2=222}
21:23:39: Triangle 429 = {indexSet=0, vertexSet=0, v0=240, v1=223, v2=239}
21:23:39: Triangle 430 = {indexSet=0, vertexSet=0, v0=240, v1=224, v2=223}
21:23:39: Triangle 431 = {indexSet=0, vertexSet=0, v0=241, v1=224, v2=240}
21:23:39: Triangle 432 = {indexSet=0, vertexSet=0, v0=241, v1=225, v2=224}
21:23:39: Triangle 433 = {indexSet=0, vertexSet=0, v0=242, v1=225, v2=241}
21:23:39: Triangle 434 = {indexSet=0, vertexSet=0, v0=242, v1=226, v2=225}
21:23:39: Triangle 435 = {indexSet=0, vertexSet=0, v0=243, v1=226, v2=242}
21:23:39: Triangle 436 = {indexSet=0, vertexSet=0, v0=243, v1=227, v2=226}
21:23:39: Triangle 437 = {indexSet=0, vertexSet=0, v0=244, v1=227, v2=243}
21:23:39: Triangle 438 = {indexSet=0, vertexSet=0, v0=244, v1=228, v2=227}
21:23:39: Triangle 439 = {indexSet=0, vertexSet=0, v0=245, v1=228, v2=244}
21:23:39: Triangle 440 = {indexSet=0, vertexSet=0, v0=245, v1=229, v2=228}
21:23:39: Triangle 441 = {indexSet=0, vertexSet=0, v0=246, v1=229, v2=245}
21:23:39: Triangle 442 = {indexSet=0, vertexSet=0, v0=246, v1=230, v2=229}
21:23:39: Triangle 443 = {indexSet=0, vertexSet=0, v0=247, v1=230, v2=246}
21:23:39: Triangle 444 = {indexSet=0, vertexSet=0, v0=247, v1=231, v2=230}
21:23:39: Triangle 445 = {indexSet=0, vertexSet=0, v0=248, v1=231, v2=247}
21:23:39: Triangle 446 = {indexSet=0, vertexSet=0, v0=248, v1=232, v2=231}
21:23:39: Triangle 447 = {indexSet=0, vertexSet=0, v0=249, v1=232, v2=248}
21:23:39: Triangle 448 = {indexSet=0, vertexSet=0, v0=249, v1=233, v2=232}
21:23:39: Triangle 449 = {indexSet=0, vertexSet=0, v0=250, v1=233, v2=249}
21:23:39: Triangle 450 = {indexSet=0, vertexSet=0, v0=250, v1=234, v2=233}
21:23:39: Triangle 451 = {indexSet=0, vertexSet=0, v0=251, v1=234, v2=250}
21:23:39: Triangle 452 = {indexSet=0, vertexSet=0, v0=251, v1=235, v2=234}
21:23:39: Triangle 453 = {indexSet=0, vertexSet=0, v0=252, v1=235, v2=251}
21:23:39: Triangle 454 = {indexSet=0, vertexSet=0, v0=252, v1=236, v2=235}
21:23:39: Triangle 455 = {indexSet=0, vertexSet=0, v0=253, v1=236, v2=252}
21:23:39: Triangle 456 = {indexSet=0, vertexSet=0, v0=253, v1=237, v2=236}
21:23:39: Triangle 457 = {indexSet=0, vertexSet=0, v0=254, v1=237, v2=253}
21:23:39: Triangle 458 = {indexSet=0, vertexSet=0, v0=254, v1=238, v2=237}
21:23:39: Triangle 459 = {indexSet=0, vertexSet=0, v0=255, v1=238, v2=254}
21:23:39: Triangle 460 = {indexSet=0, vertexSet=0, v0=255, v1=239, v2=238}
21:23:39: Triangle 461 = {indexSet=0, vertexSet=0, v0=256, v1=239, v2=255}
21:23:39: Triangle 462 = {indexSet=0, vertexSet=0, v0=256, v1=240, v2=239}
21:23:39: Triangle 463 = {indexSet=0, vertexSet=0, v0=257, v1=240, v2=256}
21:23:39: Triangle 464 = {indexSet=0, vertexSet=0, v0=257, v1=241, v2=240}
21:23:39: Triangle 465 = {indexSet=0, vertexSet=0, v0=258, v1=241, v2=257}
21:23:39: Triangle 466 = {indexSet=0, vertexSet=0, v0=258, v1=242, v2=241}
21:23:39: Triangle 467 = {indexSet=0, vertexSet=0, v0=259, v1=242, v2=258}
21:23:39: Triangle 468 = {indexSet=0, vertexSet=0, v0=259, v1=243, v2=242}
21:23:39: Triangle 469 = {indexSet=0, vertexSet=0, v0=260, v1=243, v2=259}
21:23:39: Triangle 470 = {indexSet=0, vertexSet=0, v0=260, v1=244, v2=243}
21:23:39: Triangle 471 = {indexSet=0, vertexSet=0, v0=261, v1=244, v2=260}
21:23:39: Triangle 472 = {indexSet=0, vertexSet=0, v0=261, v1=245, v2=244}
21:23:39: Triangle 473 = {indexSet=0, vertexSet=0, v0=262, v1=245, v2=261}
21:23:39: Triangle 474 = {indexSet=0, vertexSet=0, v0=262, v1=246, v2=245}
21:23:39: Triangle 475 = {indexSet=0, vertexSet=0, v0=263, v1=246, v2=262}
21:23:39: Triangle 476 = {indexSet=0, vertexSet=0, v0=263, v1=247, v2=246}
21:23:39: Triangle 477 = {indexSet=0, vertexSet=0, v0=264, v1=247, v2=263}
21:23:39: Triangle 478 = {indexSet=0, vertexSet=0, v0=264, v1=248, v2=247}
21:23:39: Triangle 479 = {indexSet=0, vertexSet=0, v0=265, v1=248, v2=264}
21:23:39: Triangle 480 = {indexSet=0, vertexSet=0, v0=265, v1=249, v2=248}
21:23:39: Triangle 481 = {indexSet=0, vertexSet=0, v0=266, v1=249, v2=265}
21:23:39: Triangle 482 = {indexSet=0, vertexSet=0, v0=266, v1=250, v2=249}
21:23:39: Triangle 483 = {indexSet=0, vertexSet=0, v0=267, v1=250, v2=266}
21:23:39: Triangle 484 = {indexSet=0, vertexSet=0, v0=267, v1=251, v2=250}
21:23:39: Triangle 485 = {indexSet=0, vertexSet=0, v0=268, v1=251, v2=267}
21:23:39: Triangle 486 = {indexSet=0, vertexSet=0, v0=268, v1=252, v2=251}
21:23:39: Triangle 487 = {indexSet=0, vertexSet=0, v0=269, v1=252, v2=268}
21:23:39: Triangle 488 = {indexSet=0, vertexSet=0, v0=269, v1=253, v2=252}
21:23:39: Triangle 489 = {indexSet=0, vertexSet=0, v0=270, v1=253, v2=269}
21:23:39: Triangle 490 = {indexSet=0, vertexSet=0, v0=270, v1=254, v2=253}
21:23:39: Triangle 491 = {indexSet=0, vertexSet=0, v0=271, v1=254, v2=270}
21:23:39: Triangle 492 = {indexSet=0, vertexSet=0, v0=271, v1=255, v2=254}
21:23:39: Triangle 493 = {indexSet=0, vertexSet=0, v0=272, v1=255, v2=271}
21:23:39: Triangle 494 = {indexSet=0, vertexSet=0, v0=272, v1=256, v2=255}
21:23:39: Triangle 495 = {indexSet=0, vertexSet=0, v0=273, v1=256, v2=272}
21:23:39: Triangle 496 = {indexSet=0, vertexSet=0, v0=273, v1=257, v2=256}
21:23:39: Triangle 497 = {indexSet=0, vertexSet=0, v0=274, v1=257, v2=273}
21:23:39: Triangle 498 = {indexSet=0, vertexSet=0, v0=274, v1=258, v2=257}
21:23:39: Triangle 499 = {indexSet=0, vertexSet=0, v0=275, v1=258, v2=274}
21:23:39: Triangle 500 = {indexSet=0, vertexSet=0, v0=275, v1=259, v2=258}
21:23:39: Triangle 501 = {indexSet=0, vertexSet=0, v0=276, v1=259, v2=275}
21:23:39: Triangle 502 = {indexSet=0, vertexSet=0, v0=276, v1=260, v2=259}
21:23:39: Triangle 503 = {indexSet=0, vertexSet=0, v0=277, v1=260, v2=276}
21:23:39: Triangle 504 = {indexSet=0, vertexSet=0, v0=277, v1=261, v2=260}
21:23:39: Triangle 505 = {indexSet=0, vertexSet=0, v0=278, v1=261, v2=277}
21:23:39: Triangle 506 = {indexSet=0, vertexSet=0, v0=278, v1=262, v2=261}
21:23:39: Triangle 507 = {indexSet=0, vertexSet=0, v0=279, v1=262, v2=278}
21:23:39: Triangle 508 = {indexSet=0, vertexSet=0, v0=279, v1=263, v2=262}
21:23:39: Triangle 509 = {indexSet=0, vertexSet=0, v0=280, v1=263, v2=279}
21:23:39: Triangle 510 = {indexSet=0, vertexSet=0, v0=280, v1=264, v2=263}
21:23:39: Triangle 511 = {indexSet=0, vertexSet=0, v0=281, v1=264, v2=280}
21:23:39: Triangle 512 = {indexSet=0, vertexSet=0, v0=281, v1=265, v2=264}
21:23:39: Triangle 513 = {indexSet=0, vertexSet=0, v0=282, v1=265, v2=281}
21:23:39: Triangle 514 = {indexSet=0, vertexSet=0, v0=282, v1=266, v2=265}
21:23:39: Triangle 515 = {indexSet=0, vertexSet=0, v0=283, v1=266, v2=282}
21:23:39: Triangle 516 = {indexSet=0, vertexSet=0, v0=283, v1=267, v2=266}
21:23:39: Triangle 517 = {indexSet=0, vertexSet=0, v0=284, v1=267, v2=283}
21:23:39: Triangle 518 = {indexSet=0, vertexSet=0, v0=284, v1=268, v2=267}
21:23:39: Triangle 519 = {indexSet=0, vertexSet=0, v0=285, v1=268, v2=284}
21:23:39: Triangle 520 = {indexSet=0, vertexSet=0, v0=285, v1=269, v2=268}
21:23:39: Triangle 521 = {indexSet=0, vertexSet=0, v0=286, v1=269, v2=285}
21:23:39: Triangle 522 = {indexSet=0, vertexSet=0, v0=286, v1=270, v2=269}
21:23:39: Triangle 523 = {indexSet=0, vertexSet=0, v0=287, v1=270, v2=286}
21:23:39: Triangle 524 = {indexSet=0, vertexSet=0, v0=287, v1=271, v2=270}
21:23:39: Triangle 525 = {indexSet=0, vertexSet=0, v0=288, v1=271, v2=287}
21:23:39: Triangle 526 = {indexSet=0, vertexSet=0, v0=288, v1=272, v2=271}
21:23:39: Edge Group vertexSet=0
21:23:39: Edge 0 = {
  tri0=0, 
  tri1=1, 
  v0=18, 
  v1=1, 
  degenerate=false 
}
21:23:39: Edge 1 = {
  tri0=0, 
  tri1=16, 
  v0=1, 
  v1=17, 
  degenerate=false 
}
21:23:39: Edge 2 = {
  tri0=0, 
  tri1=18, 
  v0=17, 
  v1=18, 
  degenerate=false 
}
21:23:39: Edge 3 = {
  tri0=1, 
  tri1=2, 
  v0=19, 
  v1=2, 
  degenerate=false 
}
21:23:39: Edge 4 = {
  tri0=1, 
  tri1=20, 
  v0=18, 
  v1=19, 
  degenerate=false 
}
21:23:39: Edge 5 = {
  tri0=2, 
  tri1=3, 
  v0=20, 
  v1=3, 
  degenerate=false 
}
21:23:39: Edge 6 = {
  tri0=2, 
  tri1=22, 
  v0=19, 
  v1=20, 
  degenerate=false 
}
21:23:39: Edge 7 = {
  tri0=3, 
  tri1=4, 
  v0=21, 
  v1=4, 
  degenerate=false 
}
21:23:39: Edge 8 = {
  tri0=3, 
  tri1=24, 
  v0=20, 
  v1=21, 
  degenerate=false 
}
21:23:39: Edge 9 = {
  tri0=4, 
  tri1=5, 
  v0=22, 
  v1=5, 
  degenerate=false 
}
21:23:39: Edge 10 = {
  tri0=4, 
  tri1=26, 
  v0=21, 
  v1=22, 
  degenerate=false 
}
21:23:39: Edge 11 = {
  tri0=5, 
  tri1=6, 
  v0=23, 
  v1=6, 
  degenerate=false 
}
21:23:39: Edge 12 = {
  tri0=5, 
  tri1=28, 
  v0=22, 
  v1=23, 
  degenerate=false 
}
21:23:39: Edge 13 = {
  tri0=6, 
  tri1=7, 
  v0=24, 
  v1=7, 
  degenerate=false 
}
21:23:39: Edge 14 = {
  tri0=6, 
  tri1=30, 
  v0=23, 
  v1=24, 
  degenerate=false 
}
21:23:39: Edge 15 = {
  tri0=7, 
  tri1=8, 
  v0=25, 
  v1=8, 
  degenerate=false 
}
21:23:39: Edge 16 = {
  tri0=7, 
  tri1=32, 
  v0=24, 
  v1=25, 
  degenerate=false 
}
21:23:39: Edge 17 = {
  tri0=8, 
  tri1=9, 
  v0=26, 
  v1=9, 
  degenerate=false 
}
21:23:39: Edge 18 = {
  tri0=8, 
  tri1=34, 
  v0=25, 
  v1=26, 
  degenerate=false 
}
21:23:39: Edge 19 = {
  tri0=9, 
  tri1=10, 
  v0=27, 
  v1=10, 
  degenerate=false 
}
21:23:39: Edge 20 = {
  tri0=9, 
  tri1=36, 
  v0=26, 
  v1=27, 
  degenerate=false 
}
21:23:39: Edge 21 = {
  tri0=10, 
  tri1=11, 
  v0=28, 
  v1=11, 
  degenerate=false 
}
21:23:39: Edge 22 = {
  tri0=10, 
  tri1=38, 
  v0=27, 
  v1=28, 
  degenerate=false 
}
21:23:39: Edge 23 = {
  tri0=11, 
  tri1=12, 
  v0=29, 
  v1=12, 
  degenerate=false 
}
21:23:39: Edge 24 = {
  tri0=11, 
  tri1=40, 
  v0=28, 
  v1=29, 
  degenerate=false 
}
21:23:39: Edge 25 = {
  tri0=12, 
  tri1=13, 
  v0=30, 
  v1=13, 
  degenerate=false 
}
21:23:39: Edge 26 = {
  tri0=12, 
  tri1=42, 
  v0=29, 
  v1=30, 
  degenerate=false 
}
21:23:39: Edge 27 = {
  tri0=13, 
  tri1=14, 
  v0=31, 
  v1=14, 
  degenerate=false 
}
21:23:39: Edge 28 = {
  tri0=13, 
  tri1=44, 
  v0=30, 
  v1=31, 
  degenerate=false 
}
21:23:39: Edge 29 = {
  tri0=14, 
  tri1=15, 
  v0=32, 
  v1=15, 
  degenerate=false 
}
21:23:39: Edge 30 = {
  tri0=14, 
  tri1=46, 
  v0=31, 
  v1=32, 
  degenerate=false 
}
21:23:39: Edge 31 = {
  tri0=15, 
  tri1=16, 
  v0=33, 
  v1=16, 
  degenerate=false 
}
21:23:39: Edge 32 = {
  tri0=15, 
  tri1=48, 
  v0=32, 
  v1=33, 
  degenerate=false 
}
21:23:39: Edge 33 = {
  tri0=16, 
  tri1=17, 
  v0=33, 
  v1=17, 
  degenerate=false 
}
21:23:39: Edge 34 = {
  tri0=17, 
  tri1=18, 
  v0=34, 
  v1=17, 
  degenerate=false 
}
21:23:39: Edge 35 = {
  tri0=17, 
  tri1=50, 
  v0=33, 
  v1=34, 
  degenerate=false 
}
21:23:39: Edge 36 = {
  tri0=18, 
  tri1=19, 
  v0=34, 
  v1=18, 
  degenerate=false 
}
21:23:39: Edge 37 = {
  tri0=19, 
  tri1=20, 
  v0=35, 
  v1=18, 
  degenerate=false 
}
21:23:39: Edge 38 = {
  tri0=19, 
  tri1=52, 
  v0=34, 
  v1=35, 
  degenerate=false 
}
21:23:39: Edge 39 = {
  tri0=20, 
  tri1=21, 
  v0=35, 
  v1=19, 
  degenerate=false 
}
21:23:39: Edge 40 = {
  tri0=21, 
  tri1=22, 
  v0=36, 
  v1=19, 
  degenerate=false 
}
21:23:39: Edge 41 = {
  tri0=21, 
  tri1=54, 
  v0=35, 
  v1=36, 
  degenerate=false 
}
21:23:39: Edge 42 = {
  tri0=22, 
  tri1=23, 
  v0=36, 
  v1=20, 
  degenerate=false 
}
21:23:39: Edge 43 = {
  tri0=23, 
  tri1=24, 
  v0=37, 
  v1=20, 
  degenerate=false 
}
21:23:39: Edge 44 = {
  tri0=23, 
  tri1=56, 
  v0=36, 
  v1=37, 
  degenerate=false 
}
21:23:39: Edge 45 = {
  tri0=24, 
  tri1=25, 
  v0=37, 
  v1=21, 
  degenerate=false 
}
21:23:39: Edge 46 = {
  tri0=25, 
  tri1=26, 
  v0=38, 
  v1=21, 
  degenerate=false 
}
21:23:39: Edge 47 = {
  tri0=25, 
  tri1=58, 
  v0=37, 
  v1=38, 
  degenerate=false 
}
21:23:39: Edge 48 = {
  tri0=26, 
  tri1=27, 
  v0=38, 
  v1=22, 
  degenerate=false 
}
21:23:39: Edge 49 = {
  tri0=27, 
  tri1=28, 
  v0=39, 
  v1=22, 
  degenerate=false 
}
21:23:39: Edge 50 = {
  tri0=27, 
  tri1=60, 
  v0=38, 
  v1=39, 
  degenerate=false 
}
21:23:39: Edge 51 = {
  tri0=28, 
  tri1=29, 
  v0=39, 
  v1=23, 
  degenerate=false 
}
21:23:39: Edge 52 = {
  tri0=29, 
  tri1=30, 
  v0=40, 
  v1=23, 
  degenerate=false 
}
21:23:39: Edge 53 = {
  tri0=29, 
  tri1=62, 
  v0=39, 
  v1=40, 
  degenerate=false 
}
21:23:39: Edge 54 = {
  tri0=30, 
  tri1=31, 
  v0=40, 
  v1=24, 
  degenerate=false 
}
21:23:39: Edge 55 = {
  tri0=31, 
  tri1=32, 
  v0=41, 
  v1=24, 
  degenerate=false 
}
21:23:39: Edge 56 = {
  tri0=31, 
  tri1=64, 
  v0=40, 
  v1=41, 
  degenerate=false 
}
21:23:39: Edge 57 = {
  tri0=32, 
  tri1=33, 
  v0=41, 
  v1=25, 
  degenerate=false 
}
21:23:39: Edge 58 = {
  tri0=33, 
  tri1=34, 
  v0=42, 
  v1=25, 
  degenerate=false 
}
21:23:39: Edge 59 = {
